ID,Name,CountryCode,District,Population
608,Cairo,EGY,Kairo,6789479
609,Alexandria,EGY,Aleksandria,3328196
610,Giza,EGY,Giza,2221868
611,"Shubra al-Khayma",EGY,al-Qalyubiya,870716
612,"Port Said",EGY,"Port Said",469533
613,Suez,EGY,Suez,417610
614,"al-Mahallat al-Kubra",EGY,al-Gharbiya,395402
615,Tanta,EGY,al-Gharbiya,371010
616,al-Mansura,EGY,al-Daqahliya,369621
617,Luxor,EGY,Luxor,360503
618,Asyut,EGY,Asyut,343498
619,Bahtim,EGY,al-Qalyubiya,275807
620,Zagazig,EGY,al-Sharqiya,267351
621,al-Faiyum,EGY,al-Faiyum,260964
622,Ismailia,EGY,Ismailia,254477
623,"Kafr al-Dawwar",EGY,al-Buhayra,231978
624,Assuan,EGY,Assuan,219017
625,Damanhur,EGY,al-Buhayra,212203
626,al-Minya,EGY,al-Minya,201360
627,"Bani Suwayf",EGY,"Bani Suwayf",172032
628,Qina,EGY,Qina,171275
629,Sawhaj,EGY,Sawhaj,170125
630,"Shibin al-Kawm",EGY,al-Minufiya,159909
631,"Bulaq al-Dakrur",EGY,Giza,148787
632,Banha,EGY,al-Qalyubiya,145792
633,"Warraq al-Arab",EGY,Giza,127108
634,"Kafr al-Shaykh",EGY,"Kafr al-Shaykh",124819
635,Mallawi,EGY,al-Minya,119283
636,Bilbays,EGY,al-Sharqiya,113608
637,"Mit Ghamr",EGY,al-Daqahliya,101801
638,al-Arish,EGY,"Shamal Sina",100447
639,Talkha,EGY,al-Daqahliya,97700
640,Qalyub,EGY,al-Qalyubiya,97200
641,Jirja,EGY,Sawhaj,95400
642,Idfu,EGY,Qina,94200
643,al-Hawamidiya,EGY,Giza,91700
644,Disuq,EGY,"Kafr al-Shaykh",91300
